Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,819,836,210,390 ",0.51%,28,7.45,39.15,Analyze
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$2,247,935,398,436 ",0.76%,31.54,12.16,14.03,Analyze
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,842,210,847,038 ",0.00%,11.42,7.15,3.45,Analyze
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,842,210,847,038 ",0.00%,10.9,7.15,3.29,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,592,789,860,626 ",0.00%,48.22,3.39,11.64,Analyze
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$926,364,027,430 ",0.00%,168.02,17.21,30.72,Analyze
BRK.B,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$705,997,547,993 ",0.00%,4.79,2.04,0.87,Analyze
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$662,375,000,000 ",0.06%,98.19,0,24.91,Analyze
FB,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"$630,734,028,288 ",0.00%,12.7,5.35,4,Analyze
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$502,115,280,000 ",0.61%,29.17,19.71,10.48,Analyze
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$457,238,764,958 ",2.44%,9.85,3.76,1.56,Analyze
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$450,421,523,288 ",1.17%,26.16,1.58,6.02,Analyze
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$440,459,798,883 ",2.48%,21.08,4.7,6.26,Analyze
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$391,117,375,889 ",1.62%,12.77,4.39,1.44,Analyze
